"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","6","6","1","3.974458","0","10"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","28","29","1","25.950914","0","50"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","819","9","1","739.358093","0","48286"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","139","10","1","166.475830","0","3595"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","117","14","1","112.230316","0","3079"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","56","6","1","82.964691","0","865"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","82","5","1","132.028244","0","1873"
"/Interchange/Materials/LambertSurfaceMaterial.LambertSurfaceMaterial","0","14","1","1","16.282856","0","87"
"/Interchange/Materials/OrenNayerMaterial.OrenNayerMaterial","0","15","2","1","21.098509","0","149"
"/Game/Materials/M_ColorDrain.M_ColorDrain","0","14","2","1","35.721134","0","73"
"/Game/M_BounceFlower.M_BounceFlower","0","14","1","1","33.038555","0","53"
"/Game/Materials/M_GrassColorDrain.M_GrassColorDrain","0","56","2","1","159.124847","0","386"
"","0","1","0","1","0.000000","2","0"
"/Game/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin","0","60","2","2","82.894463","0","559"
"/Interchange/gltf/M_Unlit.M_Unlit","0","32","3","2","23.567766","0","215"
"/Interchange/Materials/ThinTranslucentMaterial.ThinTranslucentMaterial","0","24","1","1","172.469070","0","242"
"/Interchange/Materials/SubsurfaceMaterial.SubsurfaceMaterial","0","14","1","1","15.655311","0","66"
"/Interchange/Materials/SheenMaterial.SheenMaterial","0","14","2","1","16.193489","0","89"
"/Interchange/Materials/PBRSurfaceMaterial.PBRSurfaceMaterial","0","14","1","1","15.410423","0","52"
"/Interchange/Materials/ClearCoatMaterial.ClearCoatMaterial","0","14","1","1","16.546347","0","80"
"/Game/M_Dirt-Grass.M_Dirt-Grass","0","14","2","1","54.996666","30","505"
"/Game/LevelPrototyping/Materials/M_PrototypeGrid.M_PrototypeGrid","0","46","6","2","62.289665","0","424"
"/Engine/OpenWorldTemplate/LandscapeMaterial/M_ProcGrid.M_ProcGrid","0","28","3","2","36.533401","0","189"
"/Interchange/gltf/M_Transmission.M_Transmission","0","108","5","4","878.709106","0","871"
"/Interchange/gltf/M_Sheen.M_Sheen","0","112","7","4","114.694748","0","1030"
"/Interchange/gltf/M_Translucent.M_Translucent","0","200","12","8","1553.396973","0","1753"
"/Interchange/gltf/M_Opaque.M_Opaque","0","224","18","8","227.285629","0","1631"
